Municipality,Cluster,Benefit_Type,Rate_2023,Rate_2024,Rate_2025,Cumulative_Change_Pct,Trend,Z_Score
פרדסייה,8.0,ילדים,137.18131228160993,137.5886524822695,135.96491228070175,-0.8867096987752368,→ יציבה,0.4922340178951273
פתח תקווה,7.0,ילדים,128.98743046829432,127.2191660936426,125.72622844709939,-2.5283099363674437,→ יציבה,-0.38263129522185163
צופים,,ילדים,155.09076558800317,151.0654490106545,146.02720114531138,-5.844038752616026,↓ יורדת,
צור הדסה,,ילדים,156.85487914953364,148.5668947733809,148.82195049209662,-5.121248826298247,↓ יורדת,
צור יצחק,,ילדים,188.0121396054628,183.4823329076202,182.9903978052126,-2.6709667847981278,→ יציבה,
צור משה,,ילדים,146.71669793621015,144.8223156285824,139.25523661753297,-5.085625169891223,↓ יורדת,
צפת,2.0,ילדים,128.71211542865868,126.1545507747895,123.63339123326863,-3.9458012002025082,→ יציבה,-2.3643125908175144
קדומים,5.0,ילדים,132.94093769027808,137.9593512625744,136.00498338870432,2.3048172757474945,→ יציבה,0.9117434360649254
קדימה-צורן,8.0,ילדים,136.70647391577623,135.8949902348186,133.52857731203954,-2.3246131018598,→ יציבה,0.17188365850050083
קיסריה,,ילדים,119.10669975186104,116.8960371414359,111.47702947472419,-6.405744003512816,↓ יורדת,
קלנסווה,2.0,ילדים,144.7579814624099,143.9070938400942,143.09676904029715,-1.1475791561407829,→ יציבה,0.3360553015473193
קציר,,ילדים,134.03673309886673,128.0806572068708,127.54912866147572,-4.840169024864024,→ יציבה,
קצר א-סר,,ילדים,142.30019493177386,140.9023668639053,139.9365526965104,-1.6610252968358257,→ יציבה,
קצרין,5.0,ילדים,122.75233756892831,121.1217183770883,118.60628812763962,-3.377572699143584,→ יציבה,-0.6484112302856053
קריית אונו,8.0,ילדים,142.27642276422765,143.5885336793677,143.95023045659923,1.176447692352598,→ יציבה,1.5422126047615514
קריית ארבע,3.0,ילדים,127.92174796747969,128.6978508217446,128.95132965378824,0.8048527343218348,→ יציבה,-1.2537623062947276
קריית אתא,6.0,ילדים,123.97679928110449,122.0223626640739,121.36644356064281,-2.1055195291362327,→ יציבה,-0.2461790508885735
קריית ביאליק,7.0,ילדים,130.16376594651354,129.0294130616925,129.71443383591827,-0.34520521692642375,→ יציבה,-0.11293535633952644
קריית גת,4.0,ילדים,137.96277053706618,136.8672914233629,137.26697873039336,-0.504333019672056,→ יציבה,0.5741882068702143
קריית טבעון,8.0,ילדים,129.89445011916922,128.9138535120405,129.2249730893434,-0.515400795962898,→ יציבה,-0.3939913862557491
קריית ים,5.0,ילדים,111.73439907550078,110.6695568400771,109.24025629907982,-2.2322067304766406,→ יציבה,-1.4882706590104327
קריית יערים,2.0,ילדים,142.34822621344813,143.6895963615691,142.18075476953072,-0.1176491259302992,→ יציבה,0.20896659421963254
קריית מוצקין,7.0,ילדים,127.5354713706178,124.3649259827459,123.8827314980336,-2.864097206313166,→ יציבה,-0.5072947947243786
קריית מלאכי,3.0,ילדים,135.41514130912284,133.9092091947376,134.03535688134176,-1.0189292086852728,→ יציבה,-0.6645853376744478
קריית עקרון,6.0,ילדים,119.01751851182951,119.948567229978,121.07499076468416,1.7287137881724135,→ יציבה,-0.29573856030017925
קריית שמונה,5.0,ילדים,115.77937249666222,115.6147540983606,111.07848483577331,-4.060211728150825,→ יציבה,-1.323435262659824
קרני שומרון,6.0,ילדים,136.45243211564758,134.3000663444223,133.94768686586613,-1.8356178859887253,→ יציבה,1.893173374755625
ראמה,4.0,ילדים,123.65654895476557,123.8635021844374,121.92526017029329,-1.4000785232212825,→ יציבה,-1.4277521934573079
ראש העין,7.0,ילדים,153.7718819528987,149.1118372396359,148.71506627277716,-3.2885177809493586,→ יציבה,1.1719516805174754
ראש פינה,7.0,ילדים,119.56181533646323,110.2362204724409,111.1111111111111,-7.068062827225143,↓ יורדת,-1.3709549665290695
